datetime, value
2016030402,-999
2016030403,870
2016030404,-999
2016030405,340
2016030406,34
2016030407,28
2016030408,0
2016030409,0
2016030410,0
2016030411,0
2016030412,0
2016030413,0
2016030414,0
2016030415,0
2016030416,0
2016030417,0
2016030418,0
2016030419,0
2016030420,175
2016030421,554
2016030422,754
2016030423,878
2016030500,874
2016030501,683
2016030502,-999
2016030503,943
2016030504,821
2016030505,649
2016030506,511
2016030507,423
2016030508,0
2016030509,0
2016030510,0
2016030511,0
2016030512,0
2016030513,0
2016030514,0
2016030515,0
2016030516,0
2016030517,0
2016030518,0
2016030519,0
2016030520,226
2016030521,553
2016030522,752
2016030523,875
2016030600,893
2016030601,881
2016030602,-999
2016030603,890
2016030604,523
2016030605,820
2016030606,729
2016030607,279
2016030608,0
2016030609,0
2016030610,0
2016030611,0
2016030612,0
2016030613,0
2016030614,0
2016030615,0
2016030616,0
2016030617,0
2016030618,0
2016030619,0
2016030620,86
2016030621,-999
2016030622,804
2016030623,909
2016030700,939
2016030701,905
2016030702,-999
2016030703,924
2016030704,-999
2016030705,-999
2016030706,550
2016030707,420
2016030708,0
2016030709,0
2016030710,0
2016030711,0
2016030712,0
2016030713,0
2016030714,0
2016030715,0
2016030716,0
2016030717,0
2016030718,0
2016030719,0
2016030720,171
2016030721,574
2016030722,-999
2016030723,-999
2016030800,935
2016030801,893
2016030802,911
2016030803,920
2016030804,858
2016030805,201
2016030806,590
2016030807,146
2016030808,0
2016030809,0
2016030810,0
2016030811,0
2016030812,0
2016030813,0
2016030814,0
2016030815,0
2016030816,0
2016030817,0
2016030818,0
2016030819,0
2016030820,78
2016030821,380
2016030822,59
2016030823,437
2016030900,654
2016030901,666
2016030902,616
2016030903,18
2016030904,-999
2016030905,96
2016030906,104
2016030907,57
2016030908,0
2016030909,0
2016030910,0
2016030911,0
2016030912,0
2016030913,0
2016030914,0
2016030915,0
2016030916,0
2016030917,0
2016030918,0
2016030919,0
2016030920,13
2016030921,61
2016030922,63
2016030923,84
2016031000,-999
2016031001,159
2016031002,-999
2016031003,25
2016031004,-999
2016031005,11
2016031006,-999
2016031007,11
2016031008,0
2016031009,0
2016031010,0
2016031011,0
2016031012,0
2016031013,0
2016031014,0
2016031015,0
2016031016,0
2016031017,0
2016031018,0
2016031019,0
2016031020,37
2016031021,135
2016031022,333
2016031023,820
2016031100,892
2016031101,-999
2016031102,-999
2016031103,501
2016031104,-999
2016031105,-999
2016031106,-999
2016031107,-999
2016031108,0
2016031109,0
2016031110,0
2016031111,0
2016031112,0
2016031113,0
2016031114,0
2016031115,0
2016031116,0
2016031117,0
2016031118,0
2016031119,0
2016031120,90
2016031121,369
2016031122,274
2016031123,128
2016031200,738
2016031201,598
2016031202,210
2016031203,202
2016031204,48
2016031205,23
2016031206,58
2016031207,40
2016031208,0
2016031209,0
2016031210,0
2016031211,0
2016031212,0
2016031213,0
2016031214,0
2016031215,0
2016031216,0
2016031217,0
2016031218,0
2016031219,0
2016031220,90
2016031221,489
2016031222,770
2016031223,888
2016031300,754
2016031301,896
2016031302,893
2016031303,947
2016031304,936
2016031305,862
2016031306,615
2016031307,22
2016031308,0
2016031309,0
2016031310,0
2016031311,0
2016031312,0
2016031313,0
2016031314,0
2016031315,0
2016031316,0
2016031317,0
2016031318,0
2016031319,0
2016031320,154
2016031321,617
2016031322,832
2016031323,919
2016031400,946
2016031401,904
2016031402,915
2016031403,863
2016031404,923
2016031405,851
2016031406,693
2016031407,89
2016031408,0
2016031409,0
2016031410,0
2016031411,0
2016031412,0
2016031413,0
2016031414,0
2016031415,0
2016031416,0
2016031417,0
2016031418,0
2016031419,0
2016031420,116
2016031421,544
2016031422,762
2016031423,870
2016031500,910
2016031501,852
2016031502,853
2016031503,825
2016031504,671
2016031505,333
2016031506,-999
2016031507,346
2016031508,0
2016031509,0
2016031510,0
2016031511,0
2016031512,0
2016031513,0
2016031514,0
2016031515,0
2016031516,0
2016031517,0
2016031518,0
2016031519,0
2016031520,96
2016031521,504
2016031522,734
2016031523,867
2016031600,-999
2016031601,861
2016031602,875
2016031603,924
2016031604,897
2016031605,703
2016031606,685
2016031607,307
2016031608,0
2016031609,0
2016031610,0
2016031611,0
2016031612,0
2016031613,0
2016031614,0
2016031615,0
2016031616,0
2016031617,0
2016031618,0
2016031619,0
2016031620,79
2016031621,493
2016031622,714
2016031623,861
2016031700,903
2016031701,841
2016031702,798
2016031703,-999
2016031704,-999
2016031705,250
2016031706,-999
2016031707,341
2016031708,0
2016031709,0
2016031710,0
2016031711,0
2016031712,0
2016031713,0
2016031714,0
2016031715,0
2016031716,0
2016031717,0
2016031718,0
2016031719,0
2016031720,5
2016031721,15
2016031722,-999
2016031723,519
2016031800,53
2016031801,744
2016031802,89
2016031803,-999
2016031804,31
2016031805,673
2016031806,671
2016031807,202
2016031808,0
2016031809,0
2016031810,0
2016031811,0
2016031812,0
2016031813,0
2016031814,0
2016031815,0
2016031816,0
2016031817,0
2016031818,0
2016031819,0
2016031820,40
2016031821,449
2016031822,762
2016031823,765
2016031900,213
2016031901,61
2016031902,43
2016031903,69
2016031904,339
2016031905,99
2016031906,302
2016031907,221
2016031908,0
2016031909,0
2016031910,0
2016031911,0
2016031912,0
2016031913,0
2016031914,0
2016031915,0
2016031916,0
2016031917,0
2016031918,0
2016031919,0
2016031920,57
2016031921,608
2016031922,865
2016031923,946
2016032000,962
2016032001,918
2016032002,911
2016032003,889
2016032004,400
2016032005,818
2016032006,704
2016032007,323
2016032008,0
2016032009,0
2016032010,0
2016032011,0
2016032012,0
2016032013,0
2016032014,0
2016032015,0
2016032016,0
2016032017,0
2016032018,0
2016032019,0
2016032020,44
2016032021,599
2016032022,864
2016032023,953
2016032100,974
2016032101,936
2016032102,942
2016032103,980
2016032104,979
2016032105,929
2016032106,768
2016032107,332
2016032108,0
2016032109,0
2016032110,0
2016032111,0
2016032112,0
2016032113,0
2016032114,0
2016032115,0
2016032116,0
2016032117,0
2016032118,0
2016032119,0
2016032120,0
2016032121,387
2016032122,780
2016032123,877
2016032200,916
2016032201,911
2016032202,918
2016032203,926
2016032204,936
2016032205,890
2016032206,759
2016032207,470
2016032208,0
2016032209,0
2016032210,0
2016032211,0
2016032212,0
2016032213,0
2016032214,0
2016032215,0
2016032216,0
2016032217,0
