datetime, value
2016031515,0
2016031516,0
2016031517,0
2016031518,0
2016031519,0
2016031520,41
2016031521,233
2016031522,438
2016031523,633
2016031600,-999
2016031601,810
2016031602,825
2016031603,794
2016031604,679
2016031605,467
2016031606,304
2016031607,95
2016031608,0
2016031609,0
2016031610,0
2016031611,0
2016031612,0
2016031613,0
2016031614,0
2016031615,0
2016031616,0
2016031617,0
2016031618,0
2016031619,0
2016031620,39
2016031621,232
2016031622,433
2016031623,631
2016031700,765
2016031701,805
2016031702,793
2016031703,-999
2016031704,-999
2016031705,314
2016031706,-999
2016031707,91
2016031708,0
2016031709,0
2016031710,0
2016031711,0
2016031712,0
2016031713,0
2016031714,0
2016031715,0
2016031716,0
2016031717,0
2016031718,0
2016031719,0
2016031720,12
2016031721,79
2016031722,-999
2016031723,576
2016031800,400
2016031801,855
2016031802,502
2016031803,-999
2016031804,297
2016031805,497
2016031806,311
2016031807,87
2016031808,0
2016031809,0
2016031810,0
2016031811,0
2016031812,0
2016031813,0
2016031814,0
2016031815,0
2016031816,0
2016031817,0
2016031818,0
2016031819,0
2016031820,34
2016031821,239
2016031822,463
2016031823,636
2016031900,537
2016031901,415
2016031902,366
2016031903,401
2016031904,521
2016031905,278
2016031906,233
2016031907,82
2016031908,0
2016031909,0
2016031910,0
2016031911,0
2016031912,0
2016031913,0
2016031914,0
2016031915,0
2016031916,0
2016031917,0
2016031918,0
2016031919,0
2016031920,31
2016031921,242
2016031922,459
2016031923,643
2016032000,771
2016032001,818
2016032002,820
2016032003,775
2016032004,492
2016032005,486
2016032006,290
2016032007,84
2016032008,0
2016032009,0
2016032010,0
2016032011,0
2016032012,0
2016032013,0
2016032014,0
2016032015,0
2016032016,0
2016032017,0
2016032018,0
2016032019,0
2016032020,27
2016032021,236
2016032022,452
2016032023,639
2016032100,767
2016032101,817
2016032102,825
2016032103,789
2016032104,678
2016032105,508
2016032106,296
2016032107,81
2016032108,0
2016032109,0
2016032110,0
2016032111,0
2016032112,0
2016032113,0
2016032114,0
2016032115,0
2016032116,0
2016032117,0
2016032118,0
2016032119,0
2016032120,0
2016032121,184
2016032122,399
2016032123,583
2016032200,722
2016032201,795
2016032202,815
2016032203,775
2016032204,681
2016032205,522
2016032206,321
2016032207,115
2016032208,0
2016032209,0
2016032210,0
2016032211,0
2016032212,0
2016032213,0
2016032214,0
2016032215,0
2016032216,0
2016032217,0
2016032218,0
2016032219,0
2016032220,0
2016032221,169
2016032222,304
2016032223,462
2016032300,370
2016032301,249
2016032302,744
2016032303,705
2016032304,331
